Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,02-Apr-2024,25-Apr-2024,CE,22000.00,654.00,685.00,598.05,648.15,642.75,648.15,7427.00,84066.41,2369.41,1226250.00,-9850.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22050.00,592.40,629.90,578.95,612.25,605.45,612.25,89.00,1007.74,26.51,28150.00,-950.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22100.00,560.00,602.00,523.00,569.20,569.00,569.20,1075.00,12180.35,301.60,233650.00,-500.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22150.00,520.05,562.05,486.40,530.45,526.90,530.45,201.00,2277.66,51.58,49700.00,-2500.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22200.00,487.45,526.95,448.00,491.95,493.00,491.95,4697.00,53265.24,1128.54,477850.00,-16300.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22250.00,456.25,486.70,423.90,454.10,454.60,454.10,356.00,4040.28,79.78,42550.00,2350.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22300.00,417.55,456.00,382.85,420.75,418.85,420.75,7882.00,89511.07,1626.77,664350.00,-52350.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22350.00,406.00,419.90,350.00,386.90,385.30,386.90,1683.00,19128.74,321.21,53700.00,-2200.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22400.00,384.85,389.15,320.45,354.55,355.00,354.55,25131.00,285831.60,4364.40,909450.00,-46750.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22450.00,323.95,356.45,291.00,323.20,320.10,323.20,5042.00,57400.54,804.09,109250.00,18200.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22500.00,287.00,325.00,262.00,292.75,292.00,292.75,66800.00,761107.16,9607.16,2747350.00,185200.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22550.00,262.75,294.75,236.10,263.15,265.35,263.15,4253.00,48503.34,550.76,89700.00,12450.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22600.00,265.80,268.50,211.30,235.75,235.00,235.75,45107.00,514967.84,5258.74,806200.00,-262200.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22650.00,220.45,241.50,189.10,212.05,213.90,212.05,2758.00,31522.14,287.79,88400.00,10350.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22700.00,204.95,217.15,167.00,188.20,186.55,188.20,15317.00,175265.96,1418.01,659150.00,-38050.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22750.00,172.55,193.90,147.60,166.50,165.50,166.50,2727.00,31242.56,222.94,94150.00,17850.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22800.00,159.75,171.90,128.45,145.75,143.75,145.75,19880.00,228062.41,1430.41,736800.00,60850.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22850.00,132.45,150.50,113.00,127.55,126.80,127.55,2363.00,27145.22,147.94,63900.00,600.00,22453.30
NIFTY,02-Apr-2024,25-Apr-2024,CE,22900.00,114.20,133.10,97.10,110.30,109.55,110.30,11560.00,132992.41,630.41,494300.00,64500.00,22453.30
